CountryName,CountryCode,Year,CO2Emissions
Germany,DEU,1970,1084.12
Germany,DEU,1971,1077.00
Germany,DEU,1972,1104.93
Germany,DEU,1973,1157.37
Germany,DEU,1974,1122.16
Germany,DEU,1975,1060.23
Germany,DEU,1976,1122.59
Germany,DEU,1977,1101.09
Germany,DEU,1978,1138.95
Germany,DEU,1979,1189.11
Germany,DEU,1980,1135.22
Germany,DEU,1981,1099.57
Germany,DEU,1982,1053.71
Germany,DEU,1983,1069.23
Germany,DEU,1984,1085.41
Germany,DEU,1985,1086.00
Germany,DEU,1986,1079.86
Germany,DEU,1987,1071.91
Germany,DEU,1988,1065.62
Germany,DEU,1989,1050.43
Germany,DEU,1990,1012.70
Germany,DEU,1991,991.72
Germany,DEU,1992,937.79
Germany,DEU,1993,929.33
Germany,DEU,1994,915.25
Germany,DEU,1995,910.47
Germany,DEU,1996,939.35
Germany,DEU,1997,907.48
Germany,DEU,1998,906.61
Germany,DEU,1999,870.66
Germany,DEU,2000,871.38
Germany,DEU,2001,885.47
Germany,DEU,2002,869.94
Germany,DEU,2003,877.91
Germany,DEU,2004,863.39
Germany,DEU,2005,841.75
Germany,DEU,2006,855.45
Germany,DEU,2007,826.60
Germany,DEU,2008,829.91
Germany,DEU,2009,768.13
Germany,DEU,2010,814.96
Germany,DEU,2011,788.12
Germany,DEU,2012,800.03
Germany,DEU,2013,817.82
Germany,DEU,2014,778.75
Germany,DEU,2015,784.91
Germany,DEU,2016,789.25
Germany,DEU,2017,774.48
Germany,DEU,2018,746.70
Germany,DEU,2019,696.50
Germany,DEU,2020,642.09
Germany,DEU,2021,670.67
Germany,DEU,2022,658.09
